longitude,latitude,fishing activity 2019_unreported_fishing,species richness 2019,stocks richness 2019,clusterid,risk
4.22,43.03,2341.5000000000023,548.0,62.0,0.0,Very High
4.72,43.03,1960.5000000000011,456.0,49.0,0.0,Very High
5.22,43.03,428.75000000000006,595.0,62.0,0.0,Very High
5.72,43.03,20.000000000000004,527.0,56.0,0.0,Very High
6.22,43.03,9.333333333333337,522.0,57.0,0.0,Very High
6.72,43.03,0.5000000000000006,600.0,61.0,0.0,Very High
7.22,43.03,0.0,251.0,38.0,3.0,Moderate
7.72,43.03,12.750000000000007,136.0,20.0,4.0,Moderate
8.22,43.03,58.583333333333364,128.0,22.0,4.0,Moderate
8.72,43.03,6.000000000000002,135.0,19.0,4.0,Moderate
9.22,43.03,6.416666666666665,512.0,60.0,0.0,Very High
9.72,43.03,280.9166666666666,452.0,62.0,1.0,Very High
10.22,43.03,546.0833333333329,452.0,63.0,1.0,Very High
14.22,43.03,966.9999999999977,306.0,50.0,2.0,High
14.72,43.03,595.9166666666665,202.0,42.0,3.0,Moderate
15.22,43.03,562.0,244.0,48.0,2.0,High
15.72,43.03,874.7500000000017,372.0,58.0,1.0,Very High
16.22,43.03,768.0000000000003,488.0,64.0,0.0,Very High
16.72,43.03,159.16666666666666,440.0,60.0,1.0,Very High
17.22,43.03,18.08333333333335,427.0,55.0,1.0,Very High
3.22,42.53,763.7499999999997,505.0,58.0,0.0,Very High
3.72,42.53,447.33333333333354,412.0,51.0,1.0,Very High
4.22,42.53,219.41666666666714,341.0,45.0,2.0,High
4.72,42.53,32.750000000000036,336.0,47.0,2.0,High
5.22,42.53,2.500000000000001,244.0,41.0,3.0,Moderate
5.72,42.53,2.1666666666666674,256.0,37.0,3.0,Moderate
6.22,42.53,18.583333333333353,346.0,48.0,2.0,High
6.72,42.53,2.0000000000000004,165.0,22.0,4.0,Moderate
7.22,42.53,0.0,117.0,21.0,4.0,Moderate
7.72,42.53,2.2500000000000004,120.0,16.0,5.0,Very Low
8.22,42.53,2.083333333333334,147.0,19.0,4.0,Moderate
9.72,42.53,449.5833333333329,558.0,65.0,0.0,Very High
10.22,42.53,463.333333333333,530.0,62.0,0.0,Very High
10.72,42.53,1055.8333333333344,480.0,64.0,0.0,Very High
14.22,42.53,3871.499999999998,419.0,59.0,0.0,Very High
14.72,42.53,1710.9166666666667,248.0,45.0,2.0,High
15.22,42.53,2092.749999999998,218.0,40.0,2.0,High
15.72,42.53,1012.9166666666673,210.0,39.0,3.0,Moderate
16.22,42.53,774.9999999999998,234.0,48.0,2.0,High
16.72,42.53,154.25,447.0,63.0,1.0,Very High
17.22,42.53,224.74999999999966,509.0,64.0,0.0,Very High
17.72,42.53,110.41666666666681,520.0,64.0,0.0,Very High
18.22,42.53,8.0,418.0,59.0,1.0,Very High
3.22,42.03,2309.999999999999,528.0,57.0,0.0,Very High
3.72,42.03,343.0833333333329,325.0,47.0,2.0,High
4.22,42.03,0.0,129.0,18.0,4.0,Moderate
4.72,42.03,0.0,126.0,18.0,4.0,Moderate
5.22,42.03,0.0,132.0,21.0,4.0,Moderate
5.72,42.03,0.0,128.0,20.0,4.0,Moderate
6.22,42.03,0.0,125.0,18.0,4.0,Moderate
6.72,42.03,0.0,124.0,15.0,5.0,Very Low
7.22,42.03,0.0,121.0,13.0,5.0,Very Low
7.72,42.03,0.0,115.0,19.0,4.0,Moderate
8.22,42.03,0.0,160.0,23.0,4.0,Moderate
8.72,42.03,0.0,535.0,57.0,0.0,Very High
9.72,42.03,58.583333333333364,571.0,64.0,0.0,Very High
10.22,42.03,419.1666666666665,436.0,62.0,1.0,Very High
10.72,42.03,526.6666666666666,523.0,61.0,0.0,Very High
11.22,42.03,557.5833333333331,556.0,64.0,0.0,Very High
11.72,42.03,1025.1666666666656,446.0,54.0,1.0,Very High
15.22,42.03,1967.9166666666665,393.0,59.0,1.0,Very High
15.72,42.03,1600.2500000000023,274.0,48.0,2.0,High
16.22,42.03,396.99999999999994,267.0,51.0,2.0,High
16.72,42.03,138.99999999999983,313.0,55.0,2.0,High
17.22,42.03,103.00000000000003,287.0,53.0,2.0,High
17.72,42.03,43.250000000000014,299.0,53.0,2.0,High
18.22,42.03,27.9166666666667,391.0,59.0,1.0,Very High
18.72,42.03,200.00000000000037,487.0,64.0,0.0,Very High
2.72,41.53,612.9999999999994,622.0,60.0,0.0,Very High
3.22,41.53,1469.5833333333317,624.0,63.0,0.0,Very High
3.72,41.53,50.583333333333314,258.0,42.0,2.0,High
4.22,41.53,0.0,112.0,15.0,5.0,Very Low
4.72,41.53,0.0,131.0,18.0,4.0,Moderate
5.22,41.53,0.0,155.0,24.0,4.0,Moderate
5.72,41.53,0.0,167.0,23.0,4.0,Moderate
6.22,41.53,0.4999999999999996,157.0,24.0,4.0,Moderate
6.72,41.53,0.0,135.0,20.0,4.0,Moderate
7.22,41.53,0.0,111.0,14.0,5.0,Very Low
7.72,41.53,0.0,114.0,18.0,4.0,Moderate
8.22,41.53,0.0,173.0,23.0,4.0,Moderate
8.72,41.53,0.0,581.0,61.0,0.0,Very High
9.72,41.53,88.16666666666673,432.0,62.0,1.0,Very High
10.22,41.53,89.4166666666666,350.0,59.0,1.0,Very High
10.72,41.53,13.50000000000002,283.0,48.0,2.0,High
11.22,41.53,56.500000000000014,336.0,55.0,1.0,Very High
11.72,41.53,302.49999999999994,435.0,60.0,1.0,Very High
12.22,41.53,1321.75,562.0,60.0,0.0,Very High
16.22,41.53,670.7499999999982,482.0,59.0,0.0,Very High
