longitude,latitude,all_spp_cpue_2020,five_spp_cpue_2020,cod_cpue_2020,bathymetry_2020,bottom_temperature_2020,cod_spawning_area_2020,dumping_site_2020,military_area_2020,surface_net_primary_production_2020,bottom_dissolved_oxygen_2020,fishing_activity_hours_2020,ship_density_route_2020,bottom_salinity_2020,wind_farm_2020,bedrock_seabed_2020,hard_bottom_seabed_2020,sand_seabed_2020,hard_clay_seabed_2020,mud_seabed_2020
14.67765369,55.04932413,121455.4,115886.34,93594.664,14.714617,10.419827,0,1,0,3254.7878,321.00748,435.10999,554,8.4681654,1,1,0,0,0,0
14.57765369,54.94932413,121455.4,115886.34,93594.664,18.57151,10.594406,0,0,0,3068.073,323.09607,34.75,69,8.2441339,0,1,0,0,0,0
14.67765369,54.94932413,85844.664,75299.867,53308.492,16.568428,10.629596,0,0,0,3131.5432,324.89444,91.290001,162,8.1927128,0,1,0,0,0,0
12.87765369,55.54932413,625713,618675.38,548968.38,4.9826393,11.330693,0,0,0,3752.8647,312.58545,0.63,55,12.598965,0,1,0,0,0,0
19.57765369,56.04932413,4381.4668,3306.3333,12169.501,52.276592,6.257709,0,0,0,2293.9121,286.9725,0.87,15,8.0532761,0,0,1,0,0,0
14.27765369,54.74932413,130636.67,128017.57,109914.8,15.710195,10.476224,0,0,1,3651.7712,324.61011,35.52,9,8.1576319,0,0,1,0,0,0
20.27765369,55.44932413,41444.098,28281.404,14096.448,45.723942,6.7708631,0,0,0,2788.5825,302.31436,0,58,7.8119516,0,0,1,0,0,0
10.77765369,54.44932413,14468.7,14416.333,1673,13.053349,11.25107,0,0,1,2771.502,280.61563,3.8399999,26,18.832573,0,0,1,0,0,0
10.97765369,54.44932413,14468.7,14416.333,1673,5.9387951,11.261049,0,0,0,3752.8958,308.84399,213.24001,30,15.839883,0,0,1,0,0,0
16.67765369,54.94932413,36871.066,36275.961,9681.124,16.23691,10.418065,0,0,0,2934.2935,330.80167,1.58,32,7.6289091,0,0,1,0,0,0
14.47765369,53.74932413,21924.562,20075.203,9307.8545,4.7817588,11.487171,0,0,0,18270.01,336.74841,3.9100001,3,0.070567094,0,0,1,0,0,0
18.17765369,56.14932413,90019.93,245.33333,245.33333,49.047455,5.9392819,0,0,0,2302.4836,268.14731,14.51,182,8.1024723,0,0,1,0,0,0
20.27765369,55.34932413,43297.469,26988.621,11886.743,40.012119,7.5477171,0,0,0,2836.384,318.84094,1.95,73,7.4695711,0,0,1,0,0,0
20.17765369,55.34932413,38532.402,18414.766,8468.6641,47.868916,6.9027314,0,0,0,2825.3459,308.70978,10.86,91,7.7016416,0,0,1,0,0,0
10.87765369,54.44932413,33468.527,29495.828,1129.4445,10.117278,11.255968,0,0,1,2965.8547,297.49335,58.900002,24,17.370077,0,0,1,0,0,0
20.37765369,55.34932413,56899.703,40354.094,15024.149,36.03973,8.0809498,0,0,0,2931.1008,323.51694,0,22,7.3589549,0,0,1,0,0,0
10.47765369,56.84932413,21418.834,15712.3,0.89999998,8.7957993,10.507294,0,0,0,3805.6448,296.3096,0.27000001,43,26.130468,0,0,1,0,0,0
10.57765369,56.74932413,21418.834,15712.3,0.89999998,10.116474,10.555783,0,0,0,3485.6733,291.63052,0,63,26.75518,0,0,1,0,0,0
10.47765369,56.74932413,21418.834,15712.3,0.89999998,7.5565696,10.619353,0,0,0,5341.272,296.70322,0,12,25.809841,0,0,1,0,0,0
20.37765369,55.24932413,54819.902,36049.426,13049.411,38.190395,8.1685228,0,0,0,2944.0203,318.03635,80.150002,5,7.367116,0,0,1,0,0,0
20.37765369,55.44932413,65778.781,49161.219,19769.68,43.056335,7.1315641,0,0,0,2853.145,317.19052,0,119,7.5630007,0,0,1,0,0,0
20.47765369,55.34932413,68905.461,51010.824,15552.06,35.636913,8.1750574,0,0,0,3044.2883,324.98172,0,19,7.3235607,0,0,1,0,0,0
10.47765369,56.64932413,25121.234,19156.135,1.8453089,7.242166,10.763125,0,0,0,6679.8281,297.02017,0.40000001,50,25.470156,0,0,1,0,0,0
16.77765369,54.94932413,57469.465,56882.535,16002.134,17.610786,10.284328,0,0,0,2941.5403,330.94455,5.6300001,25,7.6053705,0,0,1,0,0,0
20.47765369,55.24932413,63583.383,45308.387,14463.994,27.830477,8.9700451,0,0,0,3100.9309,324.24371,0,22,7.2404652,0,0,1,0,0,0
12.57765369,55.24932413,34849.898,24495.334,8334.1338,23.494093,11.019037,0.5,0,0,2987.3638,305.09082,7.5300002,39,12.60788,0,0,1,0,0,0
12.57765369,55.34932413,34849.898,24495.334,8334.1338,18.601744,11.117744,0,0,0,3117.4155,308.50674,16.01,190,12.38715,0,0,1,0,0,0
12.27765369,55.14932413,35567.934,24753.551,8706.167,9.8114014,11.380084,0,0,0,3317.9749,317.65146,5.98,47,10.467959,0,0,1,0,0,0
10.07765369,54.74932413,77886.07,75090.227,513.61395,23.465422,10.359027,1,0,0,2965.2849,250.00352,380.64001,45,20.304447,0,0,1,0,0,0
20.47765369,55.44932413,76524.719,57568.285,14548.25,39.895016,7.3584447,0,0,0,2933.7256,321.45471,0,67,7.4953556,0,0,1,0,0,0
