longitude,latitude,all_spp_cpue_2020_std,five_spp_cpue_2020_std,cod_cpue_2020_std,cod_spawning_area_2020,bathymetry_2020_std,bottom_temperature_2020_std,surface_net_primary_production_2020_std,bottom_dissolved_oxygen_2020_std,bottom_dissolved_oxygen_2020_inv_std,fishing_activity_hours_2020_std,ship_density_route_2020_std,bottom_salinity_2020_std,dumping_site_2020,military_area_2020,wind_farm_2020,bedrock_seabed_2020,hard_bottom_seabed_2020,sand_seabed_2020,hard_clay_seabed_2020,mud_seabed_2020
14.67765369,55.04932413,-0.526832222,-0.031839337,0.10112438,0,-1.007350727,0.936817126,-0.081186187,1.121033401,-0.832404533,0.869511818,0.024520682,-0.725272734,1,0,1,1,0,0,0,0
14.57765369,54.94932413,-0.526832222,-0.031839337,0.10112438,0,-0.872178355,1.042508589,-0.138359769,1.154603394,-0.846295531,-0.410491226,-0.343706246,-0.753607294,0,0,0,1,0,0,0,0
14.67765369,54.94932413,-0.60671882,-0.240438337,-0.134766767,0,-0.942380288,1.063812884,-0.118924681,1.183508668,-0.858113209,-0.229725477,-0.273097783,-0.760110818,0,0,0,1,0,0,0,0
12.87765369,55.54932413,0.604383499,2.552304664,2.767513936,0,-1.348426956,1.488262373,0.071328987,0.985665768,-0.774507015,-0.519577311,-0.354335476,-0.202826611,0,0,0,1,0,0,0,0
19.57765369,56.04932413,-0.789467577,-0.610457656,-0.3756515,0,0.30908229,-1.582960963,-0.375414097,0.573987774,-0.577547197,-0.518809999,-0.384704708,-0.777746184,0,0,0,0,1,0,0,0
14.27765369,54.74932413,-0.506235612,0.03051056,0.1966851,0,-0.972458746,0.970960302,0.04037334,1.17893862,-0.856253498,-0.408029435,-0.389260092,-0.764547702,0,1,0,0,1,0,0,0
20.27765369,55.44932413,-0.7063239,-0.482095313,-0.364368479,0,0.07943183,-1.272293543,-0.22394202,0.820578118,-0.699532085,-0.521591503,-0.352057784,-0.80826789,0,0,0,0,1,0,0,0
10.77765369,54.44932413,-0.766838593,-0.553356493,-0.437112581,0,-1.06557312,1.440058,-0.229172208,0.471813543,-0.523094642,-0.509314523,-0.376353169,0.585573856,0,1,0,0,1,0,0,0
10.97765369,54.44932413,-0.766838593,-0.553356493,-0.437112581,0,-1.314916602,1.446099363,0.07133851,0.925529128,-0.747773241,0.160164588,-0.373316246,0.207071038,0,0,0,0,1,0,0,0
16.67765369,54.94932413,-0.716582715,-0.441006338,-0.390221912,0,-0.953998986,0.935750398,-0.179324134,1.278455818,-0.896027329,-0.516540037,-0.371797784,-0.831418334,0,0,0,0,1,0,0,0
14.47765369,53.74932413,-0.750112642,-0.524272058,-0.392407549,0,-1.355467207,1.582995352,4.516596277,1.374038013,-0.932851483,-0.509090723,-0.393815477,-1.787365574,0,0,0,0,1,0,0,0
18.17765369,56.14932413,-0.597352325,-0.626190029,-0.445472122,0,0.195910856,-1.775739166,-0.372789435,0.271409725,-0.408793725,-0.475201142,-0.257913168,-0.771524056,0,0,0,0,1,0,0,0
20.27765369,55.34932413,-0.702166179,-0.488739725,-0.377307158,0,-0.120750199,-0.801980187,-0.209304815,1.086210515,-0.817802795,-0.515357099,-0.340669322,-0.851570732,0,0,0,0,1,0,0,0
20.17765369,55.34932413,-0.712855792,-0.532806072,-0.397321334,0,0.154606647,-1.192459465,-0.21268477,0.923371966,-0.746802234,-0.486870668,-0.327003168,-0.822219433,0,0,0,0,1,0,0,0
10.87765369,54.44932413,-0.72421573,-0.475853637,-0.440295309,0,-1.168473481,1.443023286,-0.169659839,0.743089827,-0.662555306,-0.333280523,-0.377871631,0.400603526,0,1,0,0,1,0,0,0
20.37765369,55.34932413,-0.671651892,-0.420046289,-0.35893643,0,-0.259970355,-0.479157029,-0.180301764,1.161368054,-0.849072981,-0.521591503,-0.379390092,-0.865561003,0,0,0,0,1,0,0,0
10.47765369,56.84932413,-0.751247156,-0.546695717,-0.446903374,0,-1.214787292,0.989770317,0.087490681,0.724063365,-0.653292042,-0.520728277,-0.363446246,1.508580857,0,0,0,0,1,0,0,0
10.57765369,56.74932413,-0.751247156,-0.546695717,-0.446903374,0,-1.168501659,1.019125929,-0.01048718,0.64885632,-0.615940473,-0.521591503,-0.34826163,1.587591797,0,0,0,0,1,0,0,0
10.47765369,56.74932413,-0.751247156,-0.546695717,-0.446903374,0,-1.258218525,1.057611693,0.557712148,0.730390035,-0.656380461,-0.521591503,-0.3869824,1.468029305,0,0,0,0,1,0,0,0
20.37765369,55.24932413,-0.67631757,-0.442170642,-0.370499286,0,-0.184596086,-0.426139665,-0.176345709,1.073278307,-0.812329475,-0.265341505,-0.392297015,-0.864528821,0,0,0,0,1,0,0,0
20.37765369,55.44932413,-0.651733198,-0.374781024,-0.331149507,0,-0.014059684,-1.053922398,-0.204172461,1.059683247,-0.806545676,-0.521591503,-0.305744707,-0.83975415,0,0,0,0,1,0,0,0
20.47765369,55.34932413,-0.644719026,-0.365274759,-0.355845307,0,-0.274087867,-0.422183568,-0.145642837,1.184911523,-0.858683427,-0.521591503,-0.381667784,-0.870037512,0,0,0,0,1,0,0,0
10.47765369,56.64932413,-0.742941455,-0.528995718,-0.446897839,0,-1.269237415,1.144652362,0.96758885,0.735484386,-0.658861363,-0.52031265,-0.35813163,1.425067378,0,0,0,0,1,0,0,0
16.77765369,54.94932413,-0.670373728,-0.335096403,-0.353209949,0,-0.90584881,0.854784995,-0.177105105,1.280752334,-0.896927605,-0.503591659,-0.3771124,-0.834395396,0,0,0,0,1,0,0,0
