longitude,latitude,fishing activity 2018_unreported_fishing,species richness 2018,stocks richness 2018,clusterid,risk
5.72,42.53,0.0,249.0,38.0,3.0,Moderate
6.22,42.53,35.499999999999986,320.0,49.0,2.0,High
6.72,42.53,22.833333333333357,122.0,19.0,4.0,Moderate
7.22,42.53,0.0,80.0,10.0,5.0,Very Low
7.72,42.53,0.0,79.0,11.0,5.0,Very Low
8.22,42.53,0.0,112.0,18.0,4.0,Moderate
9.72,42.53,397.75000000000017,439.0,57.0,1.0,Very High
10.22,42.53,792.4166666666665,427.0,58.0,0.0,Very High
10.72,42.53,1644.8333333333355,400.0,59.0,0.0,Very High
14.22,42.53,4072.0833333333294,423.0,61.0,0.0,Very High
14.72,42.53,1849.0833333333323,238.0,48.0,0.0,Very High
15.22,42.53,1517.8333333333335,190.0,38.0,2.0,High
15.72,42.53,619.4166666666673,142.0,32.0,3.0,Moderate
16.22,42.53,583.083333333334,190.0,40.0,2.0,High
16.72,42.53,65.66666666666667,395.0,61.0,1.0,Very High
17.22,42.53,129.00000000000009,499.0,64.0,1.0,Very High
17.72,42.53,138.6666666666668,501.0,62.0,1.0,Very High
18.22,42.53,30.416666666666693,404.0,58.0,1.0,Very High
3.22,42.03,2542.583333333334,523.0,59.0,0.0,Very High
3.72,42.03,314.50000000000017,366.0,51.0,1.0,Very High
4.22,42.03,0.0,119.0,13.0,5.0,Very Low
4.72,42.03,0.0,92.0,14.0,5.0,Very Low
5.22,42.03,0.0,79.0,13.0,5.0,Very Low
5.72,42.03,0.0,76.0,8.0,5.0,Very Low
6.22,42.03,0.0,79.0,8.0,5.0,Very Low
6.72,42.03,1.583333333333333,83.0,9.0,5.0,Very Low
7.22,42.03,0.0,79.0,8.0,5.0,Very Low
7.72,42.03,0.0,75.0,9.0,5.0,Very Low
8.22,42.03,0.0,118.0,17.0,4.0,Moderate
8.72,42.03,0.0,401.0,50.0,1.0,Very High
9.72,42.03,34.33333333333333,394.0,55.0,1.0,Very High
10.22,42.03,576.5833333333331,282.0,49.0,2.0,High
10.72,42.03,1039.5833333333353,346.0,49.0,2.0,High
11.22,42.03,1448.7499999999993,416.0,53.0,0.0,Very High
11.72,42.03,1474.9166666666663,364.0,44.0,0.0,Very High
15.22,42.03,2045.666666666666,352.0,56.0,0.0,Very High
15.72,42.03,1410.333333333331,221.0,44.0,2.0,High
16.22,42.03,507.0000000000006,200.0,43.0,2.0,High
16.72,42.03,252.00000000000014,204.0,42.0,3.0,Moderate
17.22,42.03,206.75000000000009,258.0,47.0,2.0,High
17.72,42.03,140.91666666666666,297.0,51.0,2.0,High
18.22,42.03,61.41666666666668,400.0,59.0,1.0,Very High
18.72,42.03,97.24999999999989,478.0,64.0,1.0,Very High
2.72,41.53,516.8333333333335,595.0,58.0,0.0,Very High
3.22,41.53,1226.000000000002,633.0,64.0,0.0,Very High
3.72,41.53,61.416666666666664,266.0,45.0,2.0,High
4.22,41.53,0.0,90.0,11.0,5.0,Very Low
4.72,41.53,0.0,85.0,11.0,5.0,Very Low
5.22,41.53,0.0,97.0,11.0,5.0,Very Low
5.72,41.53,0.0,95.0,11.0,5.0,Very Low
6.22,41.53,0.0,93.0,9.0,5.0,Very Low
6.72,41.53,0.0,84.0,9.0,5.0,Very Low
7.22,41.53,0.0,76.0,7.0,5.0,Very Low
7.72,41.53,0.0,73.0,8.0,5.0,Very Low
8.22,41.53,0.0,112.0,16.0,5.0,Very Low
8.72,41.53,0.0,490.0,57.0,1.0,Very High
9.72,41.53,98.66666666666669,305.0,53.0,2.0,High
10.22,41.53,55.08333333333332,184.0,34.0,3.0,Moderate
10.72,41.53,79.74999999999994,106.0,13.0,5.0,Very Low
11.22,41.53,154.08333333333348,162.0,26.0,4.0,Moderate
11.72,41.53,826.5000000000007,390.0,59.0,0.0,Very High
12.22,41.53,1798.3333333333328,566.0,65.0,0.0,Very High
16.22,41.53,922.2500000000002,457.0,59.0,0.0,Very High
16.72,41.53,238.4999999999998,280.0,55.0,2.0,High
17.22,41.53,31.833333333333357,261.0,48.0,2.0,High
17.72,41.53,6.916666666666675,193.0,35.0,3.0,Moderate
18.22,41.53,0.0,236.0,47.0,3.0,Moderate
18.72,41.53,41.66666666666673,378.0,58.0,1.0,Very High
19.22,41.53,34.666666666666686,432.0,61.0,1.0,Very High
1.22,41.03,990.3333333333323,457.0,57.0,0.0,Very High
1.72,41.03,2674.083333333338,619.0,64.0,0.0,Very High
2.22,41.03,1356.666666666667,635.0,66.0,0.0,Very High
2.72,41.03,172.00000000000003,457.0,62.0,1.0,Very High
3.22,41.03,34.666666666666686,325.0,53.0,2.0,High
3.72,41.03,0.0,150.0,23.0,4.0,Moderate
4.22,41.03,0.0,93.0,12.0,5.0,Very Low
4.72,41.03,0.0,89.0,11.0,5.0,Very Low
5.22,41.03,0.0,92.0,11.0,5.0,Very Low
5.72,41.03,0.0,94.0,10.0,5.0,Very Low
6.22,41.03,0.0,87.0,10.0,5.0,Very Low
6.72,41.03,0.0,79.0,7.0,5.0,Very Low
7.22,41.03,2.9166666666666665,78.0,9.0,5.0,Very Low
7.72,41.03,15.4166666666667,87.0,16.0,5.0,Very Low
8.22,41.03,93.5,316.0,52.0,2.0,High
8.72,41.03,404.24999999999983,503.0,56.0,1.0,Very High
9.72,41.03,160.08333333333317,414.0,54.0,1.0,Very High
10.22,41.03,8.166666666666668,162.0,27.0,4.0,Moderate
10.72,41.03,5.833333333333334,115.0,15.0,5.0,Very Low
11.22,41.03,38.66666666666669,61.0,7.0,6.0,Very Low
11.72,41.03,11.166666666666677,107.0,12.0,5.0,Very Low
12.22,41.03,484.41666666666595,426.0,61.0,1.0,Very High
12.72,41.03,1423.9999999999984,636.0,65.0,0.0,Very High
13.22,41.03,1128.6666666666654,500.0,60.0,0.0,Very High
13.72,41.03,1893.0000000000005,431.0,54.0,0.0,Very High
17.22,41.03,597.7500000000008,504.0,60.0,0.0,Very High
17.72,41.03,259.0833333333334,328.0,55.0,2.0,High
18.22,41.03,35.08333333333336,243.0,45.0,3.0,Moderate
18.72,41.03,101.25,336.0,55.0,1.0,Very High
19.22,41.03,63.49999999999998,420.0,61.0,1.0,Very High
28.22,41.03,17.666666666666682,76.0,12.0,5.0,Very Low
0.72,40.53,1181.6666666666658,441.0,52.0,0.0,Very High
1.22,40.53,1241.2499999999968,563.0,63.0,0.0,Very High
1.72,40.53,51.66666666666669,387.0,56.0,1.0,Very High
2.22,40.53,16.166666666666696,178.0,26.0,4.0,Moderate
2.72,40.53,3.750000000000001,95.0,15.0,5.0,Very Low
3.22,40.53,0.0,97.0,15.0,5.0,Very Low
3.72,40.53,1.500000000000001,107.0,23.0,4.0,Moderate
4.22,40.53,0.0,123.0,24.0,4.0,Moderate
4.72,40.53,0.0,114.0,16.0,5.0,Very Low
5.22,40.53,0.0,103.0,17.0,5.0,Very Low
5.72,40.53,0.0,106.0,16.0,5.0,Very Low
6.22,40.53,0.0,113.0,16.0,5.0,Very Low
6.72,40.53,0.0,80.0,9.0,5.0,Very Low
7.22,40.53,1.5000000000000016,71.0,8.0,5.0,Very Low
7.72,40.53,413.7500000000009,213.0,28.0,3.0,Moderate
8.22,40.53,300.99999999999966,498.0,58.0,1.0,Very High
10.22,40.53,97.7499999999999,223.0,37.0,3.0,Moderate
10.72,40.53,0.0,79.0,9.0,5.0,Very Low
11.22,40.53,0.0,62.0,4.0,6.0,Very Low
11.72,40.53,0.0,37.0,2.0,6.0,Very Low
12.22,40.53,81.75,54.0,3.0,6.0,Very Low
12.72,40.53,82.41666666666676,130.0,10.0,5.0,Very Low
13.22,40.53,345.4999999999998,133.0,14.0,5.0,Very Low
13.72,40.53,3434.333333333331,498.0,61.0,0.0,Very High
14.22,40.53,1418.166666666667,651.0,67.0,0.0,Very High
14.72,40.53,247.41666666666663,412.0,49.0,1.0,Very High
18.22,40.53,2242.0000000000005,392.0,49.0,0.0,Very High
18.72,40.53,277.58333333333314,303.0,53.0,2.0,High
19.22,40.53,67.58333333333337,543.0,63.0,1.0,Very High
22.72,40.53,0.0,0.0,0.0,6.0,Very Low
24.22,40.53,131.83333333333326,514.0,61.0,1.0,Very High
24.72,40.53,73.0833333333334,492.0,60.0,1.0,Very High
25.22,40.53,386.3333333333326,467.0,60.0,1.0,Very High
25.72,40.53,1436.666666666665,367.0,53.0,0.0,Very High
26.22,40.53,41.749999999999986,267.0,35.0,3.0,Moderate
26.72,40.53,0.0,0.0,0.0,6.0,Very Low
27.22,40.53,64.99999999999997,139.0,22.0,4.0,Moderate
27.72,40.53,56.5833333333333,146.0,24.0,4.0,Moderate
28.22,40.53,53.91666666666668,92.0,17.0,5.0,Very Low
28.72,40.53,163.33333333333334,97.0,15.0,5.0,Very Low
0.22,40.03,2146.91666666667,405.0,55.0,0.0,Very High
0.72,40.03,2549.083333333331,414.0,59.0,0.0,Very High
1.22,40.03,315.66666666666674,493.0,64.0,1.0,Very High
1.72,40.03,28.916666666666675,182.0,32.0,3.0,Moderate
2.22,40.03,9.166666666666675,103.0,15.0,5.0,Very Low
2.72,40.03,2.5833333333333344,108.0,16.0,5.0,Very Low
3.22,40.03,33.25,313.0,49.0,2.0,High
3.72,40.03,194.41666666666666,466.0,59.0,1.0,Very High
4.22,40.03,7.583333333333335,406.0,54.0,1.0,Very High
4.72,40.03,4.666666666666667,146.0,22.0,4.0,Moderate
5.22,40.03,9.250000000000007,119.0,17.0,4.0,Moderate
5.72,40.03,0.0,92.0,13.0,5.0,Very Low
6.22,40.03,0.0,78.0,7.0,5.0,Very Low
6.72,40.03,0.0,70.0,5.0,6.0,Very Low
7.22,40.03,7.083333333333336,53.0,2.0,6.0,Very Low
7.72,40.03,353.0833333333334,205.0,29.0,3.0,Moderate
8.22,40.03,108.33333333333327,527.0,57.0,1.0,Very High
9.72,40.03,510.4999999999996,360.0,48.0,2.0,High
10.22,40.03,117.99999999999997,210.0,34.0,3.0,Moderate
10.72,40.03,0.0,72.0,9.0,5.0,Very Low
11.22,40.03,0.0,35.0,0.0,6.0,Very Low
11.72,40.03,0.0,64.0,4.0,6.0,Very Low
12.22,40.03,0.0,46.0,2.0,6.0,Very Low
12.72,40.03,0.0,39.0,3.0,6.0,Very Low
13.22,40.03,0.0,41.0,1.0,6.0,Very Low
13.72,40.03,37.50000000000003,36.0,3.0,6.0,Very Low
14.22,40.03,45.666666666666664,177.0,29.0,3.0,Moderate
14.72,40.03,1330.9166666666654,493.0,58.0,0.0,Very High
15.22,40.03,29.833333333333357,201.0,18.0,4.0,Moderate
16.72,40.03,228.3333333333332,502.0,60.0,1.0,Very High
17.22,40.03,0.0,457.0,55.0,1.0,Very High
17.72,40.03,22.66666666666668,379.0,48.0,1.0,Very High
18.72,40.03,543.0833333333334,311.0,54.0,2.0,High
19.22,40.03,21.83333333333336,424.0,57.0,1.0,Very High
19.72,40.03,0.0,361.0,43.0,2.0,High
22.72,40.03,2848.0833333333308,441.0,61.0,0.0,Very High
23.22,40.03,1551.6666666666692,456.0,62.0,0.0,Very High
23.72,40.03,749.8333333333336,524.0,60.0,0.0,Very High
24.22,40.03,99.41666666666666,518.0,62.0,1.0,Very High
24.72,40.03,13.166666666666691,257.0,46.0,3.0,Moderate
25.22,40.03,91.24999999999991,499.0,60.0,1.0,Very High
25.72,40.03,436.0833333333327,386.0,51.0,1.0,Very High
26.22,40.03,102.33333333333331,294.0,40.0,3.0,Moderate
-0.28,39.53,610.2499999999993,395.0,53.0,1.0,Very High
0.22,39.53,1056.0000000000014,582.0,63.0,0.0,Very High
0.72,39.53,322.9166666666663,489.0,62.0,1.0,Very High
1.22,39.53,22.833333333333346,197.0,33.0,3.0,Moderate
1.72,39.53,117.9999999999999,166.0,25.0,4.0,Moderate
2.22,39.53,623.2499999999995,282.0,48.0,2.0,High
3.72,39.53,402.9166666666668,539.0,60.0,1.0,Very High
4.22,39.53,127.99999999999999,522.0,59.0,1.0,Very High
4.72,39.53,48.66666666666666,271.0,35.0,3.0,Moderate
5.22,39.53,5.25,116.0,18.0,4.0,Moderate
5.72,39.53,3.2499999999999996,87.0,13.0,5.0,Very Low
6.22,39.53,0.0,68.0,6.0,6.0,Very Low
6.72,39.53,2.5,61.0,3.0,6.0,Very Low
7.22,39.53,10.583333333333341,56.0,4.0,6.0,Very Low
7.72,39.53,119.74999999999997,148.0,22.0,4.0,Moderate
8.22,39.53,928.3333333333347,496.0,55.0,0.0,Very High
9.72,39.53,191.74999999999972,440.0,55.0,1.0,Very High
10.22,39.53,0.0,104.0,14.0,5.0,Very Low
10.72,39.53,0.0,59.0,5.0,6.0,Very Low
11.22,39.53,0.0,35.0,0.0,6.0,Very Low
11.72,39.53,0.0,57.0,2.0,6.0,Very Low
12.22,39.53,0.0,35.0,1.0,6.0,Very Low
12.72,39.53,0.0,76.0,7.0,5.0,Very Low
13.22,39.53,0.0,34.0,2.0,6.0,Very Low
13.72,39.53,0.0,28.0,0.0,6.0,Very Low
14.22,39.53,12.666666666666673,42.0,3.0,6.0,Very Low
14.72,39.53,62.66666666666669,37.0,2.0,6.0,Very Low
15.22,39.53,155.83333333333346,89.0,14.0,5.0,Very Low
15.72,39.53,379.91666666666634,185.0,19.0,4.0,Moderate
17.22,39.53,3.5000000000000013,309.0,44.0,2.0,High
17.72,39.53,67.4166666666667,219.0,37.0,3.0,Moderate
18.22,39.53,134.1666666666667,366.0,50.0,1.0,Very High
18.72,39.53,490.083333333333,293.0,49.0,2.0,High
19.22,39.53,12.666666666666645,316.0,52.0,2.0,High
19.72,39.53,257.41666666666686,496.0,58.0,1.0,Very High
23.22,39.53,558.333333333333,565.0,62.0,0.0,Very High
23.72,39.53,104.0,514.0,60.0,1.0,Very High
24.22,39.53,15.333333333333357,382.0,59.0,1.0,Very High
24.72,39.53,256.9166666666669,427.0,59.0,1.0,Very High
25.22,39.53,308.6666666666667,472.0,62.0,1.0,Very High
25.72,39.53,668.1666666666664,385.0,54.0,1.0,Very High
26.72,39.53,22.499999999999996,0.0,0.0,6.0,Very Low
0.22,39.03,1360.4166666666658,496.0,61.0,0.0,Very High
0.72,39.03,14.333333333333343,207.0,41.0,3.0,Moderate
1.22,39.03,338.16666666666663,450.0,59.0,1.0,Very High
1.72,39.03,495.7499999999994,375.0,55.0,1.0,Very High
2.22,39.03,425.7499999999996,196.0,36.0,3.0,Moderate
2.72,39.03,553.0833333333335,442.0,53.0,1.0,Very High
3.22,39.03,723.9166666666658,402.0,56.0,1.0,Very High
3.72,39.03,114.58333333333339,272.0,43.0,2.0,High
4.22,39.03,115.58333333333333,118.0,14.0,5.0,Very Low
4.72,39.03,77.83333333333331,130.0,19.0,4.0,Moderate
5.22,39.03,0.0,96.0,16.0,5.0,Very Low
5.72,39.03,0.0,77.0,11.0,5.0,Very Low
6.22,39.03,0.0,63.0,6.0,6.0,Very Low
6.72,39.03,1.333333333333333,57.0,2.0,6.0,Very Low
7.22,39.03,26.91666666666666,62.0,7.0,6.0,Very Low
7.72,39.03,145.0000000000002,229.0,39.0,3.0,Moderate
8.22,39.03,138.6666666666667,479.0,59.0,1.0,Very High
9.22,39.03,441.8333333333331,394.0,49.0,1.0,Very High
9.72,39.03,72.0,430.0,55.0,1.0,Very High
10.22,39.03,0.0,41.0,5.0,6.0,Very Low
10.72,39.03,0.0,29.0,2.0,6.0,Very Low
11.22,39.03,0.0,56.0,2.0,6.0,Very Low
11.72,39.03,0.0,57.0,2.0,6.0,Very Low
12.22,39.03,0.416666666666667,56.0,0.0,6.0,Very Low
12.72,39.03,27.666666666666664,53.0,3.0,6.0,Very Low
13.22,39.03,74.49999999999997,35.0,1.0,6.0,Very Low
13.72,39.03,15.000000000000014,48.0,3.0,6.0,Very Low
14.22,39.03,42.33333333333336,63.0,4.0,6.0,Very Low
14.72,39.03,17.666666666666703,52.0,4.0,6.0,Very Low
15.22,39.03,35.50000000000003,32.0,2.0,6.0,Very Low
15.72,39.03,170.41666666666666,83.0,10.0,5.0,Very Low
17.22,39.03,136.2500000000001,383.0,51.0,1.0,Very High
17.72,39.03,0.0,117.0,21.0,4.0,Moderate
18.22,39.03,0.0,94.0,12.0,5.0,Very Low
18.72,39.03,0.0,114.0,13.0,5.0,Very Low
19.22,39.03,0.0,188.0,33.0,3.0,Moderate
19.72,39.03,6.000000000000003,312.0,42.0,2.0,High
20.22,39.03,381.83333333333286,389.0,46.0,2.0,High
20.72,39.03,162.99999999999997,272.0,35.0,3.0,Moderate
23.22,39.03,1131.0000000000002,574.0,64.0,0.0,Very High
23.72,39.03,22.250000000000018,520.0,60.0,1.0,Very High
24.22,39.03,75.9166666666667,551.0,61.0,1.0,Very High
24.72,39.03,214.25000000000023,260.0,46.0,2.0,High
25.22,39.03,147.08333333333343,437.0,61.0,1.0,Very High
25.72,39.03,189.33333333333343,530.0,63.0,1.0,Very High
26.72,39.03,875.0833333333328,429.0,59.0,0.0,Very High
0.22,38.53,1625.8333333333314,624.0,64.0,0.0,Very High
0.72,38.53,537.3333333333329,431.0,60.0,1.0,Very High
1.22,38.53,345.3333333333334,544.0,63.0,1.0,Very High
1.72,38.53,421.2499999999996,387.0,49.0,1.0,Very High
2.22,38.53,67.58333333333334,146.0,20.0,4.0,Moderate
2.72,38.53,166.49999999999997,215.0,29.0,3.0,Moderate
3.22,38.53,112.83333333333334,125.0,20.0,4.0,Moderate
3.72,38.53,52.99999999999999,94.0,15.0,5.0,Very Low
4.22,38.53,16.500000000000014,94.0,11.0,5.0,Very Low
4.72,38.53,13.083333333333343,85.0,11.0,5.0,Very Low
5.22,38.53,0.0,68.0,10.0,5.0,Very Low
5.72,38.53,0.0,62.0,6.0,6.0,Very Low
6.22,38.53,1.583333333333334,55.0,3.0,6.0,Very Low
6.72,38.53,2.750000000000002,49.0,1.0,6.0,Very Low
7.22,38.53,3.5833333333333366,56.0,6.0,6.0,Very Low
7.72,38.53,52.083333333333385,120.0,21.0,4.0,Moderate
8.22,38.53,344.16666666666686,293.0,46.0,2.0,High
8.72,38.53,1532.833333333333,461.0,53.0,0.0,Very High
9.22,38.53,562.9999999999993,329.0,52.0,2.0,High
9.72,38.53,296.9166666666668,138.0,24.0,4.0,Moderate
10.22,38.53,0.0,39.0,4.0,6.0,Very Low
10.72,38.53,42.83333333333334,45.0,4.0,6.0,Very Low
11.22,38.53,0.0,51.0,3.0,6.0,Very Low
11.72,38.53,48.249999999999964,102.0,13.0,5.0,Very Low
12.22,38.53,72.08333333333337,73.0,4.0,6.0,Very Low
12.72,38.53,94.50000000000001,57.0,5.0,6.0,Very Low
13.22,38.53,152.75000000000009,66.0,3.0,6.0,Very Low
13.72,38.53,61.25000000000006,44.0,2.0,6.0,Very Low
14.22,38.53,12.500000000000018,73.0,3.0,6.0,Very Low
14.72,38.53,51.41666666666671,102.0,9.0,5.0,Very Low
15.22,38.53,35.500000000000064,61.0,3.0,6.0,Very Low
15.72,38.53,493.99999999999966,185.0,29.0,3.0,Moderate
16.72,38.53,84.83333333333336,427.0,53.0,1.0,Very High
17.22,38.53,14.250000000000014,289.0,44.0,2.0,High
17.72,38.53,0.0,95.0,12.0,5.0,Very Low
18.22,38.53,0.0,58.0,7.0,6.0,Very Low
18.72,38.53,0.0,103.0,11.0,5.0,Very Low
19.22,38.53,0.0,81.0,7.0,5.0,Very Low
19.72,38.53,0.0,106.0,15.0,5.0,Very Low
20.22,38.53,159.91666666666657,170.0,26.0,4.0,Moderate
20.72,38.53,313.58333333333326,420.0,49.0,1.0,Very High
24.72,38.53,97.41666666666676,339.0,50.0,2.0,High
25.22,38.53,285.83333333333326,410.0,57.0,1.0,Very High
25.72,38.53,437.8333333333328,486.0,62.0,1.0,Very High
26.22,38.53,1476.2499999999984,511.0,61.0,0.0,Very High
26.72,38.53,1040.4166666666656,482.0,61.0,0.0,Very High
-0.28,38.03,4726.499999999986,619.0,67.0,0.0,Very High
0.22,38.03,1358.666666666668,498.0,62.0,0.0,Very High
0.72,38.03,189.25000000000043,363.0,57.0,1.0,Very High
1.22,38.03,91.00000000000007,215.0,34.0,3.0,Moderate
1.72,38.03,142.24999999999994,71.0,6.0,6.0,Very Low
2.22,38.03,149.33333333333331,81.0,9.0,5.0,Very Low
2.72,38.03,104.83333333333331,61.0,4.0,6.0,Very Low
3.22,38.03,13.500000000000007,55.0,3.0,6.0,Very Low
3.72,38.03,2.5833333333333326,71.0,7.0,5.0,Very Low
4.22,38.03,2.083333333333334,59.0,2.0,6.0,Very Low
4.72,38.03,0.0,57.0,3.0,6.0,Very Low
5.22,38.03,0.0,57.0,5.0,6.0,Very Low
5.72,38.03,0.0,63.0,7.0,5.0,Very Low
6.22,38.03,0.0,60.0,6.0,6.0,Very Low
6.72,38.03,0.0,54.0,5.0,6.0,Very Low
7.22,38.03,8.166666666666666,55.0,6.0,6.0,Very Low
7.72,38.03,18.333333333333325,53.0,3.0,6.0,Very Low
8.22,38.03,337.74999999999994,94.0,19.0,4.0,Moderate
8.72,38.03,724.9166666666671,139.0,22.0,4.0,Moderate
9.22,38.03,489.083333333333,221.0,41.0,2.0,High
9.72,38.03,791.5000000000011,243.0,43.0,2.0,High
10.22,38.03,236.66666666666652,195.0,29.0,3.0,Moderate
10.72,38.03,528.5000000000001,128.0,27.0,4.0,Moderate
11.22,38.03,532.4999999999992,145.0,30.0,3.0,Moderate
11.72,38.03,965.0000000000002,282.0,52.0,2.0,High
12.22,38.03,1003.5833333333347,262.0,43.0,2.0,High
13.72,38.03,1713.5833333333337,191.0,31.0,2.0,High
14.22,38.03,336.1666666666667,179.0,28.0,3.0,Moderate
16.22,38.03,20.33333333333333,326.0,44.0,2.0,High
16.72,38.03,67.33333333333337,308.0,44.0,2.0,High
17.22,38.03,0.0,130.0,23.0,4.0,Moderate
17.72,38.03,0.0,81.0,10.0,5.0,Very Low
18.22,38.03,0.0,60.0,6.0,6.0,Very Low
18.72,38.03,0.0,40.0,2.0,6.0,Very Low
19.22,38.03,0.0,62.0,5.0,6.0,Very Low
19.72,38.03,0.0,96.0,10.0,5.0,Very Low
20.22,38.03,12.499999999999993,210.0,26.0,3.0,Moderate
20.72,38.03,503.6666666666664,412.0,53.0,1.0,Very High
21.22,38.03,790.5833333333327,295.0,45.0,2.0,High
24.22,38.03,174.83333333333343,528.0,60.0,1.0,Very High
24.72,38.03,28.750000000000007,339.0,51.0,1.0,Very High
25.22,38.03,0.0,206.0,39.0,3.0,Moderate
25.72,38.03,155.2500000000002,329.0,48.0,2.0,High
26.22,38.03,342.83333333333354,495.0,59.0,1.0,Very High
26.72,38.03,144.24999999999994,479.0,61.0,1.0,Very High
-1.28,37.53,285.25000000000017,0.0,0.0,6.0,Very Low
-0.78,37.53,1562.8333333333308,583.0,62.0,0.0,Very High
-0.28,37.53,1631.7499999999966,464.0,63.0,0.0,Very High
0.22,37.53,61.25000000000006,292.0,40.0,3.0,Moderate
0.72,37.53,48.000000000000064,125.0,23.0,4.0,Moderate
1.22,37.53,34.83333333333334,84.0,11.0,5.0,Very Low
1.72,37.53,50.41666666666667,78.0,10.0,5.0,Very Low
2.22,37.53,2.500000000000001,67.0,6.0,6.0,Very Low
2.72,37.53,7.583333333333336,61.0,5.0,6.0,Very Low
3.22,37.53,2.6666666666666683,63.0,8.0,5.0,Very Low
3.72,37.53,0.0,70.0,10.0,5.0,Very Low
4.22,37.53,0.0,68.0,10.0,5.0,Very Low
4.72,37.53,0.0,61.0,7.0,6.0,Very Low
5.22,37.53,0.0,67.0,10.0,5.0,Very Low
5.72,37.53,0.0,88.0,13.0,5.0,Very Low
6.22,37.53,0.0,95.0,14.0,5.0,Very Low
6.72,37.53,0.0833333333333333,86.0,13.0,5.0,Very Low
7.22,37.53,4.666666666666669,87.0,13.0,5.0,Very Low
7.72,37.53,0.0,85.0,13.0,5.0,Very Low
8.22,37.53,22.58333333333335,71.0,12.0,5.0,Very Low
8.72,37.53,92.24999999999996,233.0,44.0,3.0,Moderate
9.22,37.53,280.4166666666667,353.0,52.0,2.0,High
9.72,37.53,185.66666666666646,361.0,55.0,1.0,Very High
10.22,37.53,80.00000000000011,320.0,54.0,2.0,High
