longitude,latitude,fishing activity 2018_unreported_fishing,species richness 2018,stocks richness 2018,clusterid,risk
13.22,45.53,45.74999999999998,367.0,45.0,2.0,High
12.72,45.03,9413.08333333334,290.0,45.0,0.0,Very High
13.22,45.03,3044.583333333331,348.0,57.0,0.0,Very High
14.22,45.03,466.9166666666665,318.0,50.0,2.0,High
12.72,44.53,9074.749999999989,266.0,42.0,0.0,Very High
13.22,44.53,2958.999999999999,359.0,57.0,0.0,Very High
13.72,44.53,1042.6666666666638,420.0,57.0,0.0,Very High
14.22,44.53,281.0833333333334,382.0,54.0,1.0,Very High
14.72,44.53,172.00000000000006,360.0,50.0,1.0,Very High
8.22,44.03,278.50000000000017,377.0,44.0,2.0,High
8.72,44.03,343.83333333333417,399.0,54.0,1.0,Very High
9.22,44.03,2879.5000000000077,424.0,56.0,0.0,Very High
9.72,44.03,246.16666666666623,383.0,48.0,1.0,Very High
12.72,44.03,1732.249999999998,339.0,44.0,0.0,Very High
13.22,44.03,516.8333333333336,288.0,47.0,2.0,High
13.72,44.03,816.333333333332,261.0,48.0,2.0,High
14.22,44.03,354.333333333333,303.0,51.0,2.0,High
14.72,44.03,258.9166666666667,438.0,60.0,1.0,Very High
15.22,44.03,816.6666666666677,446.0,59.0,0.0,Very High
7.22,43.53,2.8333333333333344,470.0,54.0,1.0,Very High
7.72,43.53,635.4166666666665,471.0,58.0,0.0,Very High
8.22,43.53,512.9999999999999,380.0,55.0,1.0,Very High
8.72,43.53,0.0,123.0,15.0,5.0,Very Low
9.22,43.53,1.4166666666666676,259.0,48.0,2.0,High
9.72,43.53,111.16666666666657,462.0,60.0,1.0,Very High
10.22,43.53,100.00000000000004,410.0,52.0,1.0,Very High
13.72,43.53,1566.7500000000016,366.0,54.0,0.0,Very High
14.22,43.53,775.6666666666662,277.0,48.0,2.0,High
14.72,43.53,316.5833333333324,275.0,53.0,2.0,High
15.22,43.53,891.583333333337,437.0,63.0,0.0,Very High
15.72,43.53,456.3333333333332,466.0,64.0,1.0,Very High
3.22,43.03,853.833333333334,431.0,52.0,0.0,Very High
3.72,43.03,3286.2499999999986,474.0,55.0,0.0,Very High
4.22,43.03,4210.583333333328,478.0,60.0,0.0,Very High
4.72,43.03,1643.249999999998,401.0,50.0,0.0,Very High
5.22,43.03,338.2499999999999,599.0,63.0,1.0,Very High
5.72,43.03,26.58333333333336,518.0,55.0,1.0,Very High
6.22,43.03,22.75000000000003,486.0,55.0,1.0,Very High
6.72,43.03,0.0,484.0,56.0,1.0,Very High
7.22,43.03,0.0,168.0,21.0,4.0,Moderate
7.72,43.03,0.0,92.0,18.0,5.0,Very Low
8.22,43.03,0.0,72.0,10.0,5.0,Very Low
8.72,43.03,0.0,96.0,17.0,5.0,Very Low
9.22,43.03,1.9166666666666676,418.0,56.0,1.0,Very High
9.72,43.03,478.7500000000001,366.0,56.0,1.0,Very High
10.22,43.03,684.9999999999997,454.0,63.0,0.0,Very High
14.22,43.03,1227.749999999999,269.0,46.0,2.0,High
14.72,43.03,483.833333333333,172.0,37.0,3.0,Moderate
15.22,43.03,573.8333333333337,214.0,41.0,2.0,High
15.72,43.03,1090.1666666666647,313.0,51.0,2.0,High
16.22,43.03,794.4166666666671,458.0,64.0,0.0,Very High
16.72,43.03,98.91666666666664,412.0,60.0,1.0,Very High
17.22,43.03,11.500000000000007,440.0,58.0,1.0,Very High
3.22,42.53,657.0833333333344,460.0,54.0,0.0,Very High
3.72,42.53,605.4999999999994,407.0,52.0,1.0,Very High
4.22,42.53,266.33333333333303,441.0,57.0,1.0,Very High
4.72,42.53,61.166666666666714,411.0,56.0,1.0,Very High
5.22,42.53,9.166666666666668,287.0,45.0,2.0,High
