id,label,cluster_id,is_an_outlier
354,F354,3,false
355,F355,3,false
356,F356,3,false
357,F357,4,false
358,F358,3,false
359,F359,2,false
360,F360,2,false
361,F361,1,false
362,F362,1,false
363,F363,2,false
364,F364,4,false
365,F365,5,false
366,F366,4,false
367,F367,5,false
368,F368,5,false
369,F369,5,false
370,F370,2,false
371,F371,0,false
372,F372,1,false
373,F373,0,false
374,F374,0,false
375,F375,0,false
376,F376,0,false
377,F377,0,false
378,F378,1,false
379,F379,2,false
380,F380,3,false
381,F381,4,false
382,F382,4,false
383,F383,5,false
384,F384,4,false
385,F385,5,false
386,F386,6,false
387,F387,5,false
388,F388,5,false
389,F389,5,false
390,F390,5,false
391,F391,5,false
392,F392,5,false
393,F393,4,false
394,F394,3,false
395,F395,2,false
396,F396,2,false
397,F397,2,false
398,F398,2,false
399,F399,2,false
400,F400,1,false
401,F401,1,false
402,F402,0,false
403,F403,1,false
404,F404,2,false
405,F405,2,false
406,F406,4,false
407,F407,5,false
408,F408,5,false
409,F409,6,false
410,F410,5,false
411,F411,5,false
412,F412,4,false
413,F413,2,false
414,F414,2,false
415,F415,0,false
416,F416,1,false
417,F417,1,false
418,F418,0,false
419,F419,1,false
420,F420,1,false
421,F421,6,false
422,F422,0,false
423,F423,0,false
424,F424,2,false
425,F425,4,false
426,F426,4,false
427,F427,4,false
428,F428,4,false
429,F429,5,false
430,F430,5,false
431,F431,5,false
432,F432,4,false
433,F433,5,false
434,F434,5,false
435,F435,5,false
436,F436,4,false
437,F437,4,false
438,F438,5,false
439,F439,5,false
440,F440,4,false
441,F441,2,false
442,F442,1,false
443,F443,1,false
444,F444,1,false
445,F445,1,false
446,F446,1,false
447,F447,0,false
448,F448,0,false
449,F449,1,false
450,F450,1,false
451,F451,2,false
452,F452,2,false
453,F453,4,false
454,F454,5,false
455,F455,5,false
456,F456,6,false
457,F457,6,false
458,F458,6,false
459,F459,5,false
460,F460,4,false
461,F461,4,false
462,F462,2,false
463,F463,1,false
464,F464,0,false
465,F465,0,false
466,F466,1,false
467,F467,2,false
468,F468,1,false
469,F469,0,false
470,F470,0,false
471,F471,1,false
472,F472,3,false
473,F473,3,false
474,F474,4,false
475,F475,4,false
476,F476,4,false
477,F477,4,false
478,F478,3,false
479,F479,3,false
480,F480,3,false
481,F481,4,false
482,F482,4,false
483,F483,4,false
484,F484,3,false
485,F485,4,false
486,F486,2,false
487,F487,2,false
488,F488,2,false
489,F489,2,false
490,F490,2,false
491,F491,1,false
492,F492,1,false
493,F493,0,false
494,F494,0,false
495,F495,1,false
496,F496,2,false
497,F497,0,false
498,F498,0,false
499,F499,0,false
500,F500,2,false
501,F501,4,false
502,F502,5,false
503,F503,5,false
504,F504,5,false
505,F505,6,false
506,F506,6,false
507,F507,6,false
508,F508,6,false
509,F509,6,false
510,F510,5,false
511,F511,5,false
512,F512,3,false
513,F513,1,false
514,F514,1,false
515,F515,1,false
516,F516,1,false
517,F517,1,false
518,F518,1,false
519,F519,1,false
520,F520,3,false
521,F521,0,false
522,F522,0,false
523,F523,0,false
524,F524,0,false
525,F525,0,false
526,F526,0,false
527,F527,3,false
528,F528,4,false
529,F529,4,false
530,F530,3,false
531,F531,3,false
532,F532,1,false
533,F533,1,false
534,F534,1,false
535,F535,0,false
536,F536,1,false
537,F537,1,false
538,F538,0,false
539,F539,0,false
540,F540,1,false
541,F541,0,false
542,F542,3,false
543,F543,5,false
544,F544,6,false
545,F545,6,false
546,F546,6,false
547,F547,6,false
548,F548,6,false
549,F549,6,false
550,F550,6,false
551,F551,6,false
552,F552,5,false
553,F553,4,false
554,F554,4,false
555,F555,2,false
556,F556,1,false
557,F557,1,false
558,F558,2,false
559,F559,1,false
560,F560,1,false
561,F561,1,false
562,F562,1,false
563,F563,1,false
564,F564,1,false
565,F565,1,false
566,F566,1,false
567,F567,1,false
568,F568,1,false
569,F569,0,false
570,F570,1,false
571,F571,2,false
572,F572,2,false
573,F573,2,false
574,F574,2,false
575,F575,1,false
576,F576,0,false
577,F577,1,false
578,F578,1,false
579,F579,1,false
580,F580,1,false
581,F581,1,false
582,F582,2,false
583,F583,3,false
584,F584,3,false
585,F585,4,false
586,F586,2,false
587,F587,2,false
588,F588,2,false
589,F589,2,false
590,F590,1,false
591,F591,2,false
592,F592,2,false
593,F593,2,false
594,F594,0,false
595,F595,1,false
596,F596,1,false
597,F597,4,false
598,F598,6,false
599,F599,6,false
600,F600,6,false
601,F601,6,false
602,F602,6,false
603,F603,6,false
604,F604,6,false
605,F605,6,false
606,F606,6,false
607,F607,6,false
608,F608,4,false
609,F609,4,false
610,F610,4,false
611,F611,3,false
612,F612,1,false
613,F613,2,false
614,F614,2,false
615,F615,2,false
616,F616,2,false
617,F617,2,false
618,F618,2,false
619,F619,2,false
620,F620,2,false
621,F621,1,false
622,F622,3,false
623,F623,4,false
624,F624,3,false
625,F625,3,false
626,F626,3,false
627,F627,2,false
628,F628,3,false
629,F629,3,false
630,F630,2,false
631,F631,4,false
632,F632,2,false
633,F633,2,false
634,F634,1,false
635,F635,2,false
636,F636,2,false
637,F637,1,false
638,F638,1,false
639,F639,2,false
640,F640,1,false
641,F641,1,false
642,F642,0,false
643,F643,1,false
644,F644,1,false
645,F645,0,false
646,F646,2,false
647,F647,3,false
648,F648,3,false
649,F649,3,false
650,F650,3,false
651,F651,2,false
652,F652,1,false
653,F653,0,false
654,F654,2,false
655,F655,4,false
656,F656,4,false
657,F657,6,false
658,F658,6,false
659,F659,6,false
660,F660,6,false
661,F661,6,false
662,F662,6,false
663,F663,6,false
664,F664,6,false
665,F665,6,false
666,F666,5,false
667,F667,4,false
668,F668,4,false
669,F669,5,false
670,F670,3,false
671,F671,2,false
672,F672,3,false
673,F673,3,false
674,F674,2,false
675,F675,3,false
676,F676,3,false
677,F677,2,false
678,F678,2,false
679,F679,4,false
680,F680,4,false
681,F681,5,false
682,F682,3,false
683,F683,4,false
684,F684,4,false
685,F685,4,false
686,F686,3,false
687,F687,3,false
688,F688,3,false
689,F689,2,false
690,F690,2,false
691,F691,1,false
692,F692,2,false
693,F693,1,false
694,F694,2,false
695,F695,3,false
696,F696,4,false
697,F697,3,false
698,F698,3,false
699,F699,3,false
700,F700,2,false
701,F701,2,false
702,F702,3,false
703,F703,4,false
704,F704,6,false
705,F705,6,false
706,F706,6,false
707,F707,6,false
708,F708,6,false
709,F709,6,false
710,F710,6,false
711,F711,6,false
712,F712,6,false
713,F713,6,false
714,F714,6,false
715,F715,5,false
716,F716,5,false
717,F717,5,false
718,F718,4,false
719,F719,3,false
720,F720,2,false
721,F721,4,false
722,F722,3,false
723,F723,3,false
724,F724,4,false
725,F725,4,false
726,F726,5,false
727,F727,5,false
728,F728,4,false
729,F729,4,false
730,F730,4,false
731,F731,3,false
732,F732,3,false
733,F733,2,false
734,F734,1,false
735,F735,2,false
736,F736,2,false
737,F737,1,false
738,F738,2,false
739,F739,2,false
740,F740,3,false
741,F741,4,false
742,F742,4,false
743,F743,4,false
744,F744,4,false
745,F745,4,false
746,F746,4,false
747,F747,5,false
748,F748,5,false
749,F749,6,false
750,F750,6,false
751,F751,6,false
752,F752,6,false
753,F753,6,false
754,F754,6,false
755,F755,6,false
756,F756,6,false
757,F757,6,false
758,F758,6,false
759,F759,6,false
760,F760,5,false
761,F761,5,false
762,F762,6,false
763,F763,5,false
764,F764,4,false
765,F765,4,false
766,F766,3,false
767,F767,2,false
768,F768,3,false
769,F769,4,false
770,F770,4,false
771,F771,4,false
772,F772,4,false
773,F773,5,false
774,F774,5,false
775,F775,5,false
776,F776,5,false
777,F777,5,false
778,F778,4,false
779,F779,3,false
780,F780,3,false
781,F781,2,false
782,F782,4,false
783,F783,2,false
784,F784,1,false
785,F785,2,false
786,F786,3,false
787,F787,2,false
788,F788,1,false
789,F789,2,false
790,F790,1,false
791,F791,3,false
792,F792,4,false
793,F793,4,false
794,F794,4,false
795,F795,4,false
796,F796,4,false
797,F797,5,false
798,F798,5,false
799,F799,5,false
800,F800,6,false
801,F801,6,false
802,F802,6,false
803,F803,6,false
804,F804,6,false
805,F805,6,false
806,F806,6,false
807,F807,6,false
808,F808,6,false
809,F809,6,false
810,F810,6,false
811,F811,5,false
812,F812,5,false
813,F813,5,false
814,F814,5,false
815,F815,5,false
816,F816,5,false
817,F817,5,false
818,F818,5,false
819,F819,5,false
820,F820,4,false
821,F821,5,false
822,F822,5,false
823,F823,5,false
824,F824,5,false
825,F825,5,false
826,F826,5,false
827,F827,5,false
828,F828,5,false
829,F829,5,false
830,F830,5,false
831,F831,4,false
832,F832,4,false
833,F833,4,false
834,F834,4,false
835,F835,4,false
836,F836,3,false
837,F837,3,false
838,F838,3,false
839,F839,2,false
840,F840,2,false
841,F841,3,false
842,F842,3,false
843,F843,3,false
844,F844,3,false
845,F845,3,false
846,F846,4,false
847,F847,4,false
848,F848,5,false
849,F849,6,false
850,F850,6,false
851,F851,6,false
852,F852,6,false
853,F853,6,false
854,F854,6,false
855,F855,6,false
856,F856,6,false
857,F857,6,false
858,F858,6,false
859,F859,6,false
860,F860,6,false
861,F861,5,false
862,F862,5,false
863,F863,5,false
864,F864,4,false
865,F865,4,false
866,F866,5,false
867,F867,5,false
868,F868,6,false
869,F869,5,false
870,F870,5,false
871,F871,5,false
872,F872,5,false
873,F873,5,false
874,F874,6,false
875,F875,6,false
876,F876,6,false
877,F877,6,false
878,F878,6,false
879,F879,6,false
880,F880,5,false
881,F881,4,false
882,F882,4,false
883,F883,4,false
884,F884,4,false
885,F885,4,false
886,F886,3,false
887,F887,3,false
888,F888,3,false
889,F889,1,false
890,F890,3,false
891,F891,2,false
892,F892,2,false
893,F893,2,false
894,F894,3,false
895,F895,4,false
896,F896,5,false
897,F897,6,false
898,F898,6,false
899,F899,6,false
900,F900,6,false
901,F901,6,false
902,F902,6,false
903,F903,6,false
904,F904,6,false
905,F905,6,false
906,F906,6,false
907,F907,5,false
908,F908,5,false
909,F909,5,false
910,F910,5,false
911,F911,5,false
912,F912,4,false
913,F913,5,false
914,F914,5,false
915,F915,6,false
916,F916,5,false
917,F917,5,false
918,F918,6,false
919,F919,6,false
920,F920,6,false
921,F921,6,false
922,F922,6,false
923,F923,6,false
924,F924,6,false
925,F925,6,false
926,F926,5,false
927,F927,5,false
928,F928,4,false
929,F929,4,false
930,F930,4,false
931,F931,5,false
932,F932,4,false
933,F933,3,false
934,F934,3,false
935,F935,2,false
936,F936,4,false
937,F937,4,false
938,F938,5,false
939,F939,6,false
940,F940,6,false
941,F941,6,false
942,F942,6,false
943,F943,6,false
944,F944,6,false
945,F945,6,false
946,F946,5,false
947,F947,4,false
948,F948,3,false
949,F949,5,false
950,F950,5,false
951,F951,6,false
952,F952,6,false
953,F953,6,false
954,F954,6,false
955,F955,6,false
956,F956,6,false
957,F957,5,false
958,F958,6,false
959,F959,6,false
960,F960,6,false
961,F961,5,false
962,F962,4,false
963,F963,4,false
964,F964,4,false
965,F965,4,false
966,F966,4,false
967,F967,4,false
968,F968,4,false
969,F969,3,false
970,F970,2,false
971,F971,1,false
972,F972,5,false
973,F973,5,false
974,F974,6,false
975,F975,6,false
976,F976,6,false
977,F977,6,false
978,F978,6,false
979,F979,6,false
980,F980,4,false
981,F981,5,false
982,F982,4,false
983,F983,5,false
984,F984,5,false
985,F985,5,false
986,F986,5,false
987,F987,5,false
988,F988,5,false
989,F989,5,false
990,F990,5,false
991,F991,5,false
992,F992,4,false
993,F993,4,false
994,F994,3,false
995,F995,3,false
996,F996,3,false
997,F997,4,false
998,F998,4,false
999,F999,4,false
1000,F1000,3,false
1001,F1001,2,false
1002,F1002,1,false
1003,F1003,5,false
1004,F1004,6,false
1005,F1005,5,false
1006,F1006,5,false
1007,F1007,5,false
1008,F1008,5,false
1009,F1009,6,false
1010,F1010,4,false
1011,F1011,4,false
1012,F1012,5,false
1013,F1013,4,false
1014,F1014,4,false
1015,F1015,4,false
1016,F1016,4,false
1017,F1017,4,false
1018,F1018,4,false
1019,F1019,3,false
1020,F1020,3,false
1021,F1021,3,false
1022,F1022,3,false
1023,F1023,3,false
1024,F1024,3,false
1025,F1025,3,false
1026,F1026,3,false
1027,F1027,2,false
1028,F1028,5,false
1029,F1029,5,false
1030,F1030,5,false
1031,F1031,4,false
1032,F1032,3,false
1033,F1033,3,false
1034,F1034,3,false
1035,F1035,4,false
1036,F1036,4,false
1037,F1037,4,false
